Robot Name,1st Design Metaphor,Count,2nd Design Metaphor,Count,3rd Design Metaphor,Count
M1,an alien,2,a vacuum cleaner,2,a person,2
Mabu,a child,4,a doll,3,a glowworm,2
Mahru,a person,4,an astronaut,3,a toy,3
Maki,a human head,3,"Casper from the show ""Casper the Friendly Ghost""",2,a mannequin,1
Manav,a person,4,a skeleton,2,a mannequin,1
MarsCat,a cat,11,a toy,3,a mouse,1
Miko2,Alarm Clock,3,a toy,2,a speaker,3
Millennia,a vacuum cleaner,3,a praying mantis,3,an alien,2
MiP,R2-D2 from the Star Wars franchise,3,a toy,3,a lawn mower,1
MiRo,a dog,3,a donkey,3,a cow,3
Misty,a toy,4,"WALL-E from the movie ""WALL-E""",3,a vacuum cleaner,3
Mobiserv,a person,3,a cartoon character,4,"Rosey the robot from the show ""The Jetsons""",1
MoRo,a cactus,3,a blender,2,a punching bag,2
Moxie,a toy,5,a toddler,2,"Eve from the movie ""WALL-E""",2
Mung,a light bulb,5,a human head,4,an alien,3
Musio,"Eve from the movie ""WALL-E""",5,a pokemon,2,a Tamagotchi,1
Mykie,a desk lamp,3,"Eve from the movie ""WALL-E""",3,a mirror,2
Nadine,a woman,8,an office worker,4,a teacher,3
Nao,a child,5,a toy,3,a mannequin,2
Nexi,a doll,4,"Babyhead from the movie ""Toy Story""",3,a Segway,2
Octavia,a wheelchair,6,a child,4,a doll,1
Olivia,an astronaut,3,a snowman,2,a chess piece,1
Olly,a donut,6,a table fan,5,a speaker,2
Otto,a speaker,4,a child,2,a microphone,2
Padbot P3,a trashcan,3,a penguin,2,a doll,2
PALRO,an astronaut,4,a toy,3,a LEGO figure,2
PaPeRo,a dog,4,a penguin,2,R2-D2 from the Star Wars franchise,2
Paro,a seal,11,a teddy bear,1,a walrus,1
Pepper,a woman,3,"Rosey the robot from the show ""The Jetsons""",2,a mermaid,2
Photon,a dog,4,a rabbit,3,a tricycle,2
Pillo,a clock,3,a water dispenser,3,a child,3
Pleo,a dinosaur,7,"Little Foot from the movie ""The Land Before Time""",4,a toy,3
Promobot v4,"a Transformer from the movie ""Transformers""",2,a Roomba,2,a man,3
Pudding BeanQ,the Android Logo,2,an earpod,2,a lima bean,1
Qbo,R2-D2 from the Star Wars franchise,2,a Roomba,2,a toad,1
Qrio,a person,4,C3PO from the Star Wars Franchise,2,an action figure,3
QTrobot,a toddler,6,a doll,4,an inflatable yard decoration,2
Quori,"Rosey the robot from the show ""The Jetsons""",4,a maid,2,an astronaut,2
Reddy,"a Transformer from the movie ""Transformers""",2,a LEGO figure,2,a person,2
REEM-B,a person,6,"a Transformer from the movie ""Transformers""",3,"Terminator from the movie ""Terminator""",1
REEM-C,a crash test dummy,3,Storm Trooper from the Star Wars Franchise,3,an astronaut,2
Reeti,an alien,5,"Shrek from the movie ""Shrek""",4,a frog,2
Robina,"Rosey the robot from the show ""The Jetsons""",3,a vacuum cleaner,3,a woman,2
Robit,"E.T. from the movie ""E.T.""",4,a ghost,2,a router,2
RoboThespian,"Terminator from the movie ""Terminator""",3,C-3PO from the Star Wars Franchise,3,a skeleton,2
Robovie,a child,5,"Casper from the show ""Casper the Friendly Ghost""",3,a doll,2
Roboy,a child,6,a skeleton,2,an alien,2
Romeo,a child,8,a toy,3,a crash test dummy,1
Sanbot Elf,"Rosey the robot from the show ""The Jetsons""",5,a person,4,an hourglass,3
