AMBIGUITY	ATYPICALITY	ATYPICALITY_SD	ENTROPY_COUNTS	ENTROPY_RATINGS	LIKEABILITY_SD	METAPHOR1	METAPHOR2	METAPHOR3	NONVERBAL	NONVERBAL_SD	NUM_COUNTS	PERCEPTION	PERCEPTION_SD	ROBOT	TACTILE_MOBILITY	TACTILE_MOBILITY_SD	TIMESPENT	TIMESPENT_SD
5.15	5.05	1.0201815111976267	1.0888999753452238	1.057833854118518	1.018197685283064	0.44336564979168674	0.7929749448487605	1.045870476030172	-1.0875	0.3485442538258233	10.0	-0.1875	0.39821921962029905	Misty	0.5	0.4313670131106457	274.55	110.37780503343957
3.25	3.85	1.1488219137332316	1.0114042647073516	1.0970975348424539	0.8516776014678942	0.9879623900789575	0.9090926650700744	1.0439354688666798	-0.2375	0.40144691040659414	6.0	-0.175	0.3580270764900331	Kirobo	1.1625	0.38806600195714125	241.1	82.27551956176205
5.75	6.95	0.9482814372381894	0.8608513906312316	1.085408788713488	1.1094270688299575	1.0398116226155174	0.970671390002003	1.0593165621981788	-1.25	0.3707522757853281	15.0	-1.075	0.3646716159779919	Blossom	-0.7125	0.4013721426245224	139.15	33.35465365148507
6.315789473684211	6.052631578947368	0.8541296492215251	1.0608569471580214	1.0820933753815094	0.7795837451073361	0.9066272073001426	0.9277840569801684	0.8408757105561215	-1.0657894736842106	0.4083142824928504	9.0	-0.25	0.39471377125562335	Tapia	-1.0789473684210527	0.44633400043858884	213.26315789473685	98.48739445660718
4.7	6.3	0.8776912297253755	1.0397207708399179	1.0230495469130791	0.9654498814978489	0.3453864349879482	0.7123872394613538	0.9851443923020675	-1.575	0.3227590238862424	8.0	-1.0875	0.31792231264099724	TJBot	-0.1	0.38830761002071534	175.4	35.65323393023711
5.095238095238095	5.523809523809524	0.862007991713405	1.0397207708399179	1.0662436612053456	1.106305161838772	0.9263068845930298	0.9319322817553739	0.978443207913015	-1.4761904761904763	0.33889799623463673	8.0	-1.119047619047619	0.4307573004045919	Human Support Robot	0.7380952380952381	0.39060731441445645	242.28571428571428	144.0625169848146
5.294117647058823	4.294117647058823	1.266268528456413	0.9502705392332347	1.0896885212448775	1.1615560497657462	1.050379400889578	1.206463561513366	1.2747692646909448	-0.7205882352941176	0.3842201082631294	10.0	-0.4411764705882353	0.3699808555897877	TIAGo	1.1764705882352942	0.34813568200294503	190.52941176470588	119.70416275972579
4.2631578947368425	5.105263157894737	1.2530841975524791	0.9908353864438493	1.0935595164412018	1.2792318409111232	0.8115379120548651	1.326870579224087	1.0659649122807018	0.6578947368421053	0.30634732015423294	15.0	0.3157894736842105	0.3120644099331595	Albert Hubo	1.6578947368421053	0.237914377881622	190.1578947368421	68.80278430664839
4.777777777777778	5.0	1.1426468527350695	1.0986122886681096	1.0525314961271124	1.0214683210282136	0.5288485182593111	1.0052944809676678	0.751161579307696	-1.3055555555555556	0.3919222745302654	9.0	-1.0555555555555556	0.4035668303477471	MiRo	-0.08333333333333333	0.4819947940398127	167.66666666666666	43.39715445025267
5.761904761904762	5.095238095238095	0.974428607498318	1.0549201679861442	1.0924042538951653	0.9837705242811682	0.7089648165537633	0.7786484016122639	0.8932736298457364	-0.8333333333333334	0.3297080639101922	5.0	-0.40476190476190477	0.3367106681916599	Snow	-0.10714285714285714	0.40819045119214203	136.57142857142858	25.902093609075955
6.5	6.055555555555555	1.044759374019004	1.0986122886681096	1.0849647426056876	1.017705993986514	1.1368333754147044	1.1232550737852531	1.1951545844597948	-1.375	0.37411990345408497	6.0	-0.8194444444444444	0.40983033204376196	Farnese	-0.6527777777777778	0.4392147124295138	163.33333333333334	40.141472042985384
6.277777777777778	5.666666666666667	0.9507396501424253	1.0296530140645737	1.0879724606512118	0.8794777944865445	0.6387590092479517	1.1644135105405689	1.0724311828622426	-1.625	0.3800157871152068	10.0	-0.5416666666666666	0.38869196402966005	Loomo	0.5138888888888888	0.4930049748007889	166.5	38.76078285563514
2.25	4.25	1.36294379541993	0.7356219397587946	1.0983945518369125	0.9630909669010065	1.068580859192031	0.7693566690492298	0.9335077030099682	0.1125	0.36338340203564606	8.0	-0.25	0.3834856581412139	Geminoid HI	0.675	0.3962264346305026	152.7	44.948191284961325
6.3	6.7	0.6049487146596981	1.0986122886681096	1.0772636420022015	0.9654498814978489	0.9267145134687835	1.1766445602018614	0.8469162638034156	-1.925	0.33192753350693877	9.0	-1.4375	0.35814232069807106	Pillo	-2.6625	0.1339401802111674	181.4	51.99522823450142
5.9411764705882355	5.470588235294118	0.9069111804765428	1.0789922078775833	1.08598288603019	1.055901523666701	1.0206948579666624	1.0117017764287388	1.1244871187687373	-0.8235294117647058	0.4351134479641218	7.0	-0.6617647058823529	0.3837109965088937	Cruzr	1.25	0.40016983851107424	164.0	45.10787501351947
3.625	3.75	1.3801425047194704	1.0888999753452238	1.0937734114426692	1.2118628910345701	0.9467699474177099	0.6746773920425475	0.98	-0.078125	0.4161050373398637	10.0	-0.265625	0.420449436046101	Mahru	1.78125	0.2920435390672725	275.75	108.25363190212141
4.722222222222222	5.722222222222222	0.9213070504402944	1.0986122886681096	1.0906497252296834	1.2356116270720754	0.6575896215611184	1.162315196421142	1.0606602402481589	-0.3888888888888889	0.3602304551195115	9.0	0.06944444444444445	0.37587647343950964	Chip CANdroid	1.8472222222222223	0.2712943290915911	238.38888888888889	125.00239397329923
