,Robot Name,Height (cm),Weight (kg),Year,Country of Origin,Most Prominent Color,Mechanical Embodiment?,Zoomorphic Embodiment?,Humanoid Embodiment?,Can Move? (moving from A to B),number of wheels,Screen Face?,Static Face?,Mechanical Face?,number of legs,number of arms,number of eyes,Matte Body?,Mouth?,Nose?,Eyebrows?,Cheeks/blush?,Hair Follicles?,Mechanical Hair?,Furry?,Ears?,Eyelids?,Pupils?,Irises?,Eyelashes?,Lips?,mechanical spline lips?,symmetric embodiment?,Exposed Wires?
22,BIG-i,76.5,12,2016,China,grey,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23,Blossom,20.0,UNK,2017,United States,grey,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24,Bocco Emo,15.0,0.4,2019,Japan,white,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
25,Buddy,50.0,UNK,2015,France,white,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
26,Care-O-bot 4,148.0,140,2015,Germany,white,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27,CB2,130.0,33,2006,Japan,grey,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1
28,Chili,30.0,UNK,2016,United States,red,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
29,CHiP,20.0,0.45,2016,United States,"white, blue",0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30,Chip CANdroid,170.0,100,2017,Australia,white,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31,Cobalt,154.9,68,2017,United States,blue,1.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
32,Cody,155.0,136,2009,United States,"white, silver",1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
