COMPETENCE	COMPETENCE_SD	DISCOMFORT	DISCOMFORT_SD	FEMININE	FEMININE_SD	IDENTIFY	IDENTIFY_SD	LIKEABILITY	LIKEABILITY_SD	MASCULINE	MASCULINE_SD	ROBOT	ROLE	ROLE_SD	TIMESPENT	TIMESPENT_SD	WARMTH	WARMTH_SD
0.8125	0.2571770729964084	0.025	0.35499646124996787	-0.15	0.607866155627943	2.9	0.827902358850048	4.25	0.7772007801280045	-0.6	0.6422355691767543	iCat	2.45	0.7453291748934616	104.9	19.74486569372296	-0.3125	0.37732187436590525
0.7777777777777778	0.3012264596156274	-1.4305555555555556	0.40710901846428316	-0.6111111111111112	0.7622222222222221	3.2222222222222223	0.9178940881212757	6.666666666666667	0.7261394021622495	-1.2352941176470589	0.7400534338595561	Domgy	2.5555555555555554	0.9923764600641585	106.61111111111111	35.715760600399776	-0.6388888888888888	0.4461547916133604
1.013157894736842	0.2741299042479207	-0.15789473684210525	0.42852860955639743	0.8947368421052632	0.7326712364073426	2.8947368421052633	1.0372941099240973	4.315789473684211	1.1321288477537712	-1.8421052631578947	0.6747013520330389	Robina	3.473684210526316	1.042410965852606	127.73684210526316	50.330294124090116	-0.5394736842105263	0.34299183544736805
0.5	0.38737901337062647	0.1875	0.42306860776356353	-1.5	0.659323417164181	2.3	0.753758861342692	4.0	1.0545340702239818	-0.45	0.7977414170149703	Cody	2.95	0.8704625509644738	187.4	131.10244917701013	-1.7125	0.29439530715519224
0.7794117647058824	0.28778988076227324	-0.7647058823529411	0.4876505858016463	-1.588235294117647	0.630174908438057	3.823529411764706	1.3470182372514077	5.764705882352941	1.2181138633490076	-0.11764705882352941	0.8714054193337856	Kirobo	2.6470588235294117	1.0884460845134833	136.76470588235293	61.006714203066785	-1.2205882352941178	0.38852062362857187
-0.08	0.3941890876216641	0.33783783783783783	0.4291743083347763	0.7894736842105263	0.8422806834833384	3.210526315789474	1.2412333147245223	4.315789473684211	1.1121082383312495	-1.6842105263157894	0.654237601355496	Flobi	3.736842105263158	1.3967644976391649	88.26315789473684	19.887785053562876	-0.6666666666666666	0.4121009297445182
0.5657894736842105	0.26131629160306924	0.4342105263157895	0.457478697071023	-1.4210526315789473	0.7237408377632352	2.789473684210526	0.8940350877192982	3.473684210526316	0.8786942942033	-0.631578947368421	0.7818554849743179	Nexi	3.736842105263158	0.8973353392060274	111.73684210526316	29.56757128222913	-0.9473684210526315	0.30491564898519646
0.6578947368421053	0.28380757831232833	0.07894736842105263	0.3416753104730416	-1.4210526315789473	0.641461857686108	3.473684210526316	1.1051758250097146	4.368421052631579	1.0514461160977013	1.0	0.449654838386301	REEM-C	4.105263157894737	1.110512291699371	143.21052631578948	41.716935857449606	-0.75	0.36857299498414003
0.25	0.31920885032131674	-0.2638888888888889	0.3830371854340517	-2.0	0.5489097929389798	3.0	0.9374419371998007	4.666666666666667	0.9895612020229066	-1.0555555555555556	0.8305336849810264	Loomo	3.2777777777777777	0.9213070504402943	198.66666666666666	158.54151834936764	-1.3472222222222223	0.3594152427220641
0.5714285714285714	0.348105986414738	-0.9047619047619048	0.42338144958400314	0.6666666666666666	0.803967937448033	2.9047619047619047	1.072724464985197	5.380952380952381	1.0944303439588001	-1.7619047619047619	0.618399367543158	Leka	2.3333333333333335	0.9305291206858839	138.42857142857142	51.114764990166975	-0.6785714285714286	0.38505050173826405
1.0	0.3261010096766196	0.029411764705882353	0.446477472126223	-0.8823529411764706	0.7680267260343966	3.588235294117647	1.2806213349230942	5.235294117647059	0.897703721902911	0.17647058823529413	0.8101411727120054	Sanbot Max	4.0588235294117645	1.133318305077103	119.58823529411765	28.19000119677274	-0.7941176470588235	0.41681419465740543
0.8157894736842105	0.3131282371486794	0.19736842105263158	0.36657310091525147	-0.47368421052631576	0.6928579945971118	3.6842105263157894	1.1420075415654247	5.7368421052631575	1.1881831222671981	-0.47368421052631576	0.7983174056785277	Leonardo	3.5789473684210527	1.1247942939733473	111.15789473684211	34.79083160022052	0.42105263157894735	0.33280045854937174
0.38235294117647056	0.2795419110483554	-0.75	0.40016983851107424	-1.1176470588235294	0.803964656903631	3.6470588235294117	1.0487963112168848	5.411764705882353	1.1155860253386092	-1.1764705882352942	0.6771996071753715	TJBot	2.8823529411764706	1.0480038696143459	107.58823529411765	34.49342004350363	-0.9705882352941176	0.3576222730894259
0.47368421052631576	0.32102184130997424	1.1973684210526316	0.36657310091525136	-1.3157894736842106	0.6368369822422139	1.894736842105263	0.6340458644313703	3.1578947368421053	0.9025906423465652	0.5263157894736842	0.676451553033259	ECCE	3.4210526315789473	0.9977856677877874	106.47368421052632	19.045634474901444	-1.1066666666666667	0.3104774916634531
0.39436619718309857	0.3369219218851517	-0.5555555555555556	0.3885992748751219	-0.5555555555555556	0.6575896215611183	4.111111111111111	1.2465700800257467	5.055555555555555	0.9029555280014037	-0.16666666666666666	0.6387590092479518	Tapia	3.1666666666666665	1.1562990318167667	169.44444444444446	86.57985882133414	-0.2916666666666667	0.38389607446241797
1.1547619047619047	0.22500411518870458	-1.1097560975609757	0.3153058741701647	0.5714285714285714	0.7101924621772139	3.9047619047619047	1.0021931506007764	6.095238095238095	0.6183993675431579	-1.0476190476190477	0.7707773853570028	Emiew 3	3.619047619047619	1.034274839897232	109.66666666666667	22.48101460739212	-0.43902439024390244	0.3562947959641607
